,Symbol,MarketCapitalization,BookValue,EPS,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,Beta,totalRevenue,operatingIncome,operatingExpenses,netIncome,totalAssets,totalLiabilities,totalShareholderEquity,DividendPerShare,DividendYield,PEGRatio,currentDebt
376,PFG,0.0040733063841370005,0.20721860978477338,0.06952873610036252,0.054915080682179304,0.06952873610036252,0.003116433415091618,0.2599640933572711,0.3786642490178302,0.0276376141155279,0.16419332820694482,0.015804794624392788,0.18934705184012662,0.07887275942676357,0.08305549067479413,0.0878965645341043,0.1285,2.1310966542627577e-07,0.1597535197224106,0.0005277027601404592
377,PG,0.11777886857999655,0.19267221729011205,0.06869373956254328,0.17946929840048023,0.06869373956254328,0.002824668558328925,0.2736086175942549,0.1305530371713509,0.13328202398984731,0.19524844264348848,0.1581449788650822,0.27589148309369915,0.03254592260655195,0.021828918488613805,0.20770435934294895,0.18675,1.4849332372268196e-07,0.16187532405376304,0.06688812309140962
378,PGR,0.03243003726731642,0.20128608105189913,0.06993605148466459,0.013696108894459942,0.06993605148466459,0.007755815258340147,0.3533213644524237,0.10335448776065277,0.0802336758504933,0.23223511979333167,0.06365521883888339,0.15337906168931098,0.020165484952245988,0.017622332860924975,0.1070017605349442,0.020000000000000004,3.91425916089078e-08,0.15855003390100905,0.045045021899337595
379,PLD,0.03833424483235726,0.2150106773520167,0.0632357134128956,0.027327204194767134,0.0632357134128956,0.0034178168935058277,0.2933572710951526,0.304925959504382,0.008776668440659927,0.16356895568553925,0.027491743130393646,0.1766245086400211,0.023558465010318486,0.008865388103769916,0.22764292474924488,0.17400000000000002,1.6340478719274208e-07,0.17134965899573248,0.1939295309265205
380,PRU,0.010666708553656546,0.2269657125032992,0.07026190379210623,0.05015712722008404,0.07026190379210623,0.004879847384536463,0.2581687612208259,0.4116047144152312,0.09732836615220862,0.049908848204180026,0.03612645776351937,0.13438860308666403,0.18761524354775314,0.19487018295920167,0.15449420961672022,0.25,3.0630631211415146e-07,0.24581222829338334,0.0050677774362931334
381,PEG,0.0074294826383327125,0.1987727043693164,0.06796057187079957,0.017743017548815368,0.06796057187079957,0.00391798521938473,0.2912028725314183,0.17437292233303114,0.015042371146681954,0.15906204370102212,0.015804188170510575,0.15610077826144308,0.012865873675909648,0.006193700787728367,0.09556958958538594,0.1125,2.4231128138847683e-07,0.1597206158018586,0.024684980415492358
382,PTC,0.005114096680392804,0.19460373827290833,0.060567797645717084,0.013559050704424279,0.060567797645717084,0.0027829878645056834,0.32710951526032317,0.35902085222121494,0.0022209604126581244,0.1570693920045619,0.021508329644072215,0.149193510091017,0.0012863933535461618,0.001032422399537827,0.06431699320013567,0.0,0.0,0.16013141626450764,6.130375930999759e-05
383,PSA,0.014201951561335914,0.2001883532883845,0.07875442955480429,0.020316801136965504,0.07875442955480429,0.0006508600650860065,0.2800718132854578,0.16107585373224542,0.005842981946207066,0.16420559481946762,0.015518803102618061,0.18528027964648464,0.004360342436606679,0.002151200458449651,0.08820894480965225,0.55,2.6219323268189034e-07,0.16099389781837037,0.05952694459447972
384,PHM,0.00511820000827296,0.20980996712815222,0.08040405686122766,0.027606744994880125,0.08040405686122766,0.002722069927379407,0.2064631956912029,0.4726503475370203,0.02554152699881279,0.18487721507503824,0.02295780293887551,0.16991928945169943,0.003960454354955251,0.0016526613650248818,0.08920988160806292,0.034,4.846225627769537e-08,0.1585440513699996,0.0007664571985326333
385,QRVO,0.0015822105912089237,0.20307963625020994,0.05229929534438516,0.011974074008686136,0.05229929534438516,0.0017281456900559485,0.42190305206463197,0.46721063765488063,0.004839561141359971,0.15647473237659948,0.021000127355315264,0.14794136217737325,0.0013963940497233554,0.0007886114831605693,0.06827578699142345,0.0,0.0,0.15872851274279107,2.027110974517253e-06
386,PWR,0.007882947500610438,0.2052331021906567,0.06608692110301007,0.01741267522333251,0.06608692110301007,0.00551788262075378,0.355475763016158,0.31912964641885766,0.026774213779833793,0.15796273144348158,0.023898697943514884,0.15135372642131645,0.003244681169573941,0.0023527881050920707,0.0730588535525657,0.016,1.0562286624625914e-08,0.15933573964025047,0.0002451823419016917
387,QCOM,0.05212571130994826,0.19287616671065577,0.07081177956091403,0.11908566081706155,0.07081177956091403,0.0039756969492938336,0.2800718132854578,0.42852825627077673,0.05765096000327507,0.17290113270146273,0.0864196782155701,0.21063184276480673,0.013499578292638738,0.008694825730703045,0.1253823914202187,0.1575,1.3171792731886432e-07,0.15988912375862482,0.005976707840996031
388,DGX,0.002623916906198405,0.21459078148619143,0.07178933648323899,0.02155202853006603,0.07178933648323899,0.0061591240641882695,0.2552962298025135,0.2737987307343609,0.014952306873541574,0.15916356347361782,0.026702164433905624,0.1553532955195005,0.0030734725764882493,0.002020317245332076,0.07470482774215431,0.142,1.4725070176684362e-07,0.16116140868663503,0.0006277504953343752
389,RL,0.001617910313260497,0.20465124649087027,0.07449798378884771,0.02470428304085308,0.07449798378884771,0.00418089421119287,0.2822262118491921,0.4511937141130251,0.009546157939984444,0.1576001589756439,0.035238609279957304,0.15163083146462647,0.0014230295662948065,0.0012540012588926374,0.06351977775265291,0.15000000000000002,1.0624417722417831e-07,0.15963287201371995,0.00013274307349258143
390,RJF,0.005794831016644152,0.21129759819564747,0.07282799071320925,0.05374104021750645,0.07282799071320925,0.003219032046041136,0.2919210053859964,0.31429434874584466,0.020269374053301675,0.16052652042059426,0.02214163123965238,0.16232686980609418,0.02095556887362011,0.02017148224869779,0.08866312406118262,0.0855,9.75458235333099e-08,0.1595251864555498,0.029432344791959563
391,RTX,0.0368251685740747,0.20758451903927827,0.061076941876094665,0.06657603898167438,0.061076941876094665,0.0034819410378492763,0.2983842010771993,0.18857660924750683,0.11185327711139313,0.16377083315333374,0.07857216497971412,0.17513080947983994,0.04374628327432192,0.029732200576998883,0.24883627025018976,0.11599999999999999,1.6216216523690374e-07,0.1590306305587684,0.009625507595127087
392,O,0.012275673176091581,0.20673872879525879,0.05922365687752027,0.019980328201687797,0.05922365687752027,0.002952916847015823,0.3490125673249551,0.2840737382895135,0.004469971752568879,0.16204270310434504,0.01532639954394668,0.15467975201160797,0.013126530958339029,0.006136724527130417,0.14842165296464394,0.15175000000000002,3.622243001268769e-07,0.18409245004586608,0.004589117683600672
